Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,1.8,543.14,55.5,0,5.57
TEST,1.9,525.0,56.5,0,5.57
TEST,2.0,501.94,57.5,0,5.57
TEST,2.0,496.52,57.5,0,5.57
TEST,2.0,498.71,57.0,0,5.57
TEST,2.0,496.69,58.9,0,5.57
TEST,2.0,497.35,59.4,0,5.57
TEST,2.0,497.77,59.9,0,5.57
TEST,2.0,497.71,58.9,0,5.57
TEST,2.0,497.71,59.9,0,5.57
TEST,2.0,498.17,58.9,0,5.57
TEST,2.0,496.88,61.3,0,5.57
TEST,2.0,497.8,60.4,0,5.57
TEST,2.0,498.16,60.4,0,5.57
TEST,2.0,497.55,61.3,0,5.57
TEST,2.0,498.06,61.3,0,5.57
TEST,2.0,498.62,61.8,0,5.57
TEST,2.0,496.46,62.3,0,5.57
TEST,2.0,497.13,60.9,0,5.57
TEST,2.0,495.54,61.8,0,5.57
TEST,2.0,506.26,61.3,0,5.57
TEST,2.0,496.08,63.3,0,5.57
TEST,2.0,497.53,61.8,0,5.57
TEST,2.0,496.57,62.3,0,5.57
TEST,2.0,497.49,63.3,0,5.57
TEST,2.0,496.19,62.8,0,5.57
TEST,2.0,498.31,62.8,0,5.57
TEST,2.0,497.83,64.3,0,5.57
TEST,2.0,499.33,63.3,0,5.57
TEST,2.0,497.1,62.8,0,5.57
TEST,2.0,498.49,63.8,0,5.57
TEST,2.0,496.14,64.8,0,5.57
TEST,2.0,496.86,64.8,0,5.57
TEST,2.0,497.03,63.3,0,5.57
TEST,2.0,497.96,64.3,0,5.57
TEST,2.0,498.66,64.3,0,5.57
TEST,2.0,499.05,63.3,0,5.57
TEST,2.0,497.61,63.3,0,5.57
TEST,2.0,497.1,64.3,0,5.57
TEST,2.0,496.8,63.8,0,5.57
TEST,2.0,498.37,64.3,0,5.57
TEST,2.0,497.96,65.2,0,5.57
TEST,2.0,497.27,64.8,0,5.57
TEST,2.0,496.83,65.7,0,5.57
TEST,2.0,498.56,64.8,0,5.57
TEST,2.0,495.29,65.2,0,5.57
TEST,2.0,496.44,65.7,0,5.57
TEST,2.0,496.57,64.3,0,5.57
TEST,2.0,497.72,65.2,0,5.57
TEST,2.0,497.02,65.2,0,5.57
TEST,2.0,497.74,66.2,0,5.57
TEST,2.0,496.74,65.7,0,5.57
TEST,2.0,498.04,66.2,0,5.57
TEST,2.0,496.93,66.2,0,5.57
TEST,2.0,497.98,67.2,0,5.57
TEST,2.0,497.09,65.2,0,5.57
TEST,2.0,497.57,65.7,0,5.57
TEST,2.0,496.96,65.2,0,5.57
TEST,2.0,496.91,66.7,0,5.57
TEST,2.0,497.02,65.7,0,5.57
TEST,2.0,498.49,67.2,0,5.57
TEST,2.0,500.32,66.7,0,5.57
TEST,2.0,502.01,67.2,0,5.57
TEST,2.0,501.0,66.2,0,5.57
TEST,2.0,502.05,67.2,0,5.57
TEST,2.0,501.58,67.7,0,5.57
TEST,2.0,500.94,67.2,0,5.57
TEST,2.0,500.89,66.2,0,5.57
TEST,2.0,500.87,67.7,0,5.57
TEST,2.0,500.5,67.2,0,5.57
TEST,2.0,501.63,66.7,0,5.57
TEST,2.0,499.45,66.7,0,5.57
TEST,2.0,501.42,68.2,0,5.57
TEST,2.0,500.49,68.7,0,5.57
TEST,2.0,502.41,68.2,0,5.57
TEST,2.0,499.78,69.1,0,5.57
TEST,2.0,501.1,68.2,0,5.57
TEST,2.0,501.36,67.7,0,5.57
TEST,2.0,501.31,67.2,0,5.57
TEST,2.0,499.39,68.2,0,5.57
TEST,2.0,500.83,68.7,0,5.57
TEST,2.0,500.96,68.2,0,5.57
TEST,2.0,501.53,68.7,0,5.57
TEST,2.0,501.23,68.2,0,5.57
TEST,2.0,500.94,68.2,0,5.57
TEST,2.0,499.52,68.7,0,5.57
TEST,2.0,501.24,68.7,0,5.57
TEST,2.0,500.25,69.6,0,5.57
TEST,2.0,501.6,68.2,0,5.57
TEST,2.0,507.15,68.7,0,5.57
TEST,2.0,502.5,69.1,0,5.57
TEST,2.0,500.5,69.6,0,5.57
TEST,2.0,501.22,69.1,0,5.57
TEST,2.0,499.68,69.1,0,5.57
TEST,2.0,502.8,70.1,0,5.57
TEST,2.0,500.59,69.6,0,5.57
TEST,2.0,502.34,69.6,0,5.57
TEST,2.0,500.93,68.7,0,5.57
TEST,2.0,500.06,69.6,0,5.57
TEST,2.0,500.17,69.6,0,5.57
TEST,2.0,500.79,70.1,0,5.57
TEST,2.0,501.1,70.1,0,5.57
TEST,2.0,502.5,70.1,0,5.57
TEST,2.0,500.82,70.1,0,5.57
TEST,2.0,501.87,70.6,0,5.57
TEST,2.0,500.67,70.6,0,5.57
TEST,2.0,501.49,71.1,0,5.57
TEST,2.0,501.55,70.6,0,5.57
TEST,2.0,502.0,70.1,0,5.57
TEST,2.0,500.22,71.1,0,5.57
TEST,2.0,501.2,70.1,0,5.57
TEST,2.0,501.79,71.1,0,5.57
TEST,2.0,501.87,70.1,0,5.57
TEST,2.0,500.93,71.1,0,5.57
TEST,2.0,503.45,70.1,0,5.57
TEST,2.0,500.98,71.1,0,5.57
